,S.N,Date,Price,Change,Max Price,Min Price,Prev Price,Transaction,Volume,Amount
0,1,2022-01-03,329.0,8.0,331.0,320.9,321.0,339,200383,65335200
1,2,2022-01-02,321.0,5.0,323.1,311.0,316.0,207,114133,36649800
2,3,2021-12-29,316.0,-3.0,321.9,316.0,319.0,151,58672,18613400
3,4,2021-12-28,319.0,3.0,322.0,313.1,316.0,219,41606,13193400
4,5,2021-12-27,316.0,-4.0,325.0,316.0,320.0,234,61050,19575200
5,6,2021-12-26,320.0,2.0,324.0,318.0,318.0,282,89164,28632500
6,7,2021-12-23,318.0,3.1,321.1,315.0,314.9,298,88052,28018400
7,8,2021-12-22,314.9,7.9,315.8,309.0,307.0,255,68932,21576300
8,9,2021-12-21,307.0,7.2,307.0,300.0,299.8,201,58687,17847800
9,10,2021-12-20,299.8,-0.2,306.0,296.0,300.0,262,92841,27993500
10,11,2021-12-16,300.0,-3.0,304.0,297.0,303.0,144,63688,19175800
11,12,2021-12-15,303.0,0.0,315.0,291.1,303.0,285,140796,42406700
12,13,2021-12-14,303.0,13.0,303.0,285.2,290.0,141,38854,11493000
13,14,2021-12-13,290.0,0.0,292.8,279.0,290.0,335,95972,27600700
14,15,2021-12-12,290.0,-3.5,295.0,288.0,293.5,236,74389,21686000
15,16,2021-12-09,293.5,0.5,296.0,290.2,293.0,131,19408,5703950
16,17,2021-12-08,293.0,-4.0,300.9,292.0,297.0,153,35554,10466000
17,18,2021-12-07,297.0,-1.0,303.0,295.0,298.0,147,17173,5136590
18,19,2021-12-06,298.0,3.0,300.0,289.2,295.0,231,59491,17534900
19,20,2021-12-05,295.0,-6.0,302.0,293.5,301.0,266,70785,20959800
20,21,2021-12-02,301.0,-4.0,308.0,301.0,305.0,166,52968,16103200
21,22,2021-12-01,305.0,3.0,308.0,303.0,302.0,134,33226,10151100
22,23,2021-11-30,302.0,-0.4,308.4,300.0,302.4,217,59667,18084500
23,24,2021-11-29,302.4,-4.0,312.5,300.3,306.4,251,73598,22454000
24,25,2021-11-28,306.4,-10.6,320.0,306.4,317.0,250,55231,17217900
25,26,2021-11-25,317.0,-1.0,323.0,309.8,318.0,205,51828,16359700
26,27,2021-11-24,318.0,-1.5,320.0,315.0,319.5,127,19446,6173710
27,28,2021-11-23,319.5,-2.8,325.0,319.1,322.3,168,36983,11859000
28,29,2021-11-22,322.3,0.3,328.0,322.2,322.0,143,27353,8886930
29,30,2021-11-21,322.0,0.0,325.0,320.1,322.0,107,22345,7189650
30,31,2021-11-18,322.0,-4.0,339.0,320.0,326.0,217,57831,18712200
31,32,2021-11-17,326.0,2.0,336.1,322.0,324.0,233,49057,16162600
32,33,2021-11-16,324.0,4.0,324.8,318.1,320.0,207,38510,12411700
33,34,2021-11-15,320.0,0.5,324.0,319.1,319.5,156,31990,10257200
34,35,2021-11-14,319.5,0.0,322.0,315.0,319.5,198,43940,14021000
35,36,2021-11-11,319.5,-1.5,325.0,315.0,321.0,327,140057,44879700
36,37,2021-11-09,321.0,-11.0,331.0,319.5,332.0,334,87625,28401000
37,38,2021-11-08,332.0,-7.0,345.7,330.0,339.0,211,51399,17121300
38,39,2021-11-03,339.0,-6.0,349.0,339.0,345.0,274,56490,19396900
39,40,2021-11-02,345.0,5.0,346.5,335.0,340.0,293,93614,32042000
40,41,2021-11-01,340.0,8.0,345.5,335.0,332.0,517,213234,72509100
41,42,2021-10-31,332.0,8.0,334.0,324.0,324.0,375,106955,35215000
42,43,2021-10-28,324.0,-4.7,328.0,323.3,328.7,263,60124,19498600
43,44,2021-10-27,328.7,1.3,334.0,323.0,327.4,410,107282,35212000
44,45,2021-10-26,327.4,5.4,330.8,322.0,322.0,358,111401,36379500
45,46,2021-10-25,322.0,3.0,323.0,315.0,319.0,319,69223,22177700
46,47,2021-10-24,319.0,-3.07,320.0,304.0,322.07,541,114493,35757900
47,48,2021-10-21,364.9,-6.7,379.0,364.0,371.6,1744,313369,115614000
48,49,2021-10-20,371.6,7.8,384.5,367.0,363.8,412,89343,33234000
49,50,2021-10-19,363.8,-8.2,370.0,356.0,372.0,535,105022,37930000
50,51,2021-10-18,372.0,-14.0,386.0,370.5,386.0,629,124485,46742900
51,52,2021-10-17,386.0,0.0,394.0,381.5,386.0,270,44105,17025400
52,53,2021-10-11,386.0,-1.5,392.0,380.0,387.5,470,91780,35316800
53,54,2021-10-10,387.5,-0.6,402.0,387.0,388.1,647,149742,58513800
54,55,2021-10-06,388.1,6.2,389.6,384.2,381.9,366,102791,39843600
55,56,2021-10-05,381.9,4.8,384.0,379.8,377.1,260,49303,18813500
56,57,2021-10-04,377.1,-3.5,382.0,373.0,380.6,348,96621,36498500
57,58,2021-10-03,380.6,-5.2,400.0,379.5,385.8,416,67436,25824100
58,59,2021-09-30,385.8,-5.1,395.0,385.0,390.9,397,67654,26275800
59,60,2021-09-29,390.9,5.9,396.9,381.0,385.0,389,77958,30218600
60,61,2021-09-28,385.0,-6.9,394.0,381.2,391.9,471,114028,43974400
61,62,2021-09-27,391.9,-7.1,400.0,388.0,399.0,483,104865,40962400
62,63,2021-09-26,399.0,-12.0,419.2,398.5,411.0,1004,185751,75289300
63,64,2021-09-23,411.0,13.0,422.0,405.0,398.0,2642,575194,238689000
64,65,2021-09-22,398.0,20.4,398.0,381.0,377.6,447,117891,46084000
65,66,2021-09-21,377.6,4.1,392.0,367.2,373.5,508,146986,55424200
66,67,2021-09-20,373.5,-9.5,383.0,370.5,383.0,553,181360,67866300
67,68,2021-09-16,383.0,-11.0,393.0,380.6,394.0,533,165303,63525500
68,69,2021-09-15,394.0,-4.0,398.0,392.3,398.0,214,52563,20728400
69,70,2021-09-14,398.0,-2.5,404.9,396.0,400.5,320,73472,29427100
70,71,2021-09-13,400.5,3.5,408.0,398.0,397.0,415,130938,52686700
71,72,2021-09-12,397.0,9.9,402.0,390.0,387.1,421,107313,42507900
72,73,2021-09-09,387.1,-3.9,395.0,385.3,391.0,304,47634,18478200
73,74,2021-09-08,391.0,-7.0,398.0,387.1,398.0,363,97637,38034700
74,75,2021-09-07,398.0,-12.0,410.0,391.2,410.0,455,146968,58768800
75,76,2021-09-06,410.0,22.0,410.0,386.0,388.0,615,163079,65292400
76,77,2021-09-05,388.0,-6.0,399.0,385.3,394.0,614,150587,58634100
77,78,2021-09-02,394.0,-3.5,404.0,392.2,397.5,654,232228,91907400
78,79,2021-09-01,397.5,2.5,405.0,388.0,395.0,598,140174,56016100
79,80,2021-08-31,395.0,-11.0,409.0,390.3,406.0,982,290250,115251000
80,81,2021-08-29,406.0,-9.0,423.3,404.0,415.0,680,166720,68284900
81,82,2021-08-26,415.0,-3.0,423.0,411.1,418.0,555,139357,58033500
82,83,2021-08-25,418.0,-3.1,429.5,415.0,421.1,453,140913,58816100
83,84,2021-08-24,421.1,-7.0,435.0,420.0,428.1,455,123845,52363800
84,85,2021-08-19,428.1,-4.9,441.0,428.0,433.0,603,182974,79281900
85,86,2021-08-18,433.0,9.0,455.0,417.0,424.0,964,254492,109910000
86,87,2021-08-17,424.0,-12.0,444.7,423.0,436.0,709,233400,100063000
87,88,2021-08-16,436.0,-4.0,440.0,427.0,440.0,602,194333,84117800
88,89,2021-08-15,440.0,-2.9,448.0,421.4,442.9,1032,328639,142502000
89,90,2021-08-12,442.9,9.9,443.5,427.5,433.0,1153,368813,162134000
90,91,2021-08-11,433.0,-2.0,450.0,429.0,435.0,776,286433,124669000
91,92,2021-08-10,435.0,19.0,438.0,414.0,416.0,976,368422,158356000
92,93,2021-08-09,416.0,-2.9,421.7,415.7,418.9,386,99199,41382200
93,94,2021-08-08,418.9,-3.1,427.0,418.1,422.0,490,146770,62037400
94,95,2021-08-05,422.0,3.0,425.0,418.5,419.0,512,120641,50938600
95,96,2021-08-04,419.0,2.0,420.0,415.1,417.0,459,108687,45561300
96,97,2021-08-03,417.0,-1.0,426.0,415.1,418.0,421,110878,46190200
97,98,2021-08-02,418.0,1.0,424.0,413.0,417.0,528,113592,47744100
98,99,2021-08-01,417.0,-4.8,428.9,416.0,421.8,492,123227,51487800
99,100,2021-07-29,421.8,-2.4,425.0,419.0,424.2,467,123291,51937800
100,101,2021-07-28,424.2,-3.8,436.0,421.0,428.0,481,153312,65144900
101,102,2021-07-27,428.0,1.0,430.0,411.0,427.0,995,335622,142109000
102,103,2021-07-26,427.0,-15.5,450.0,425.0,442.5,1787,577249,248934000
103,104,2021-07-25,442.5,18.5,442.5,428.0,424.0,1256,411893,180170000
