,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Amount
0,ACLBSL,58,59,20,29600.0
1,ACLBSL,58,19,10,15300.0
2,ACLBSL,58,29,10,15130.0
3,ACLBSL,58,38,10,15180.0
4,ACLBSL,58,44,10,15210.0
5,ACLBSL,58,44,10,15210.0
6,ADBL,58,14,300,150000.0
7,ADBL,58,34,25,12500.0
8,ADBL,58,59,25,12425.0
9,ADBL,58,17,10,4980.0
10,ADBL,58,41,107,53286.0
11,ADBL,58,11,50,24900.0
12,ADBL,58,42,60,29880.0
13,ADBL,58,6,183,91134.0
14,ADBL,58,42,10,4970.0
15,ADBL,58,38,100,49800.0
16,AHPC,58,8,30,14250.0
17,AHPC,58,32,30,14220.0
18,AHPC,58,28,1000,471000.0
19,AHPC,58,28,20,9480.0
20,AHPC,58,18,10,4720.0
21,AHPC,58,51,20,9440.0
22,AHPC,58,51,30,14160.0
23,AHPC,58,28,20,9420.0
24,AHPC,58,19,50,23500.0
25,AHPC,58,6,30,14100.0
26,AHPC,58,20,500,235000.0
27,AHPC,58,20,100,46900.0
28,AIL,58,33,10,8300.0
29,AIL,58,1,10,8230.0
30,AIL,58,58,10,8230.0
31,AIL,58,45,10,8230.0
32,AIL,58,28,10,8230.0
33,AIL,58,58,20,16400.0
34,AIL,58,34,15,12300.0
35,AIL,58,38,10,8200.0
36,AKJCL,58,14,10,2810.0
37,AKJCL,58,47,10,2810.0
38,AKJCL,58,21,30,8550.0
39,AKJCL,58,52,200,56000.0
40,AKJCL,58,36,300,84000.0
41,AKPL,58,41,50,22000.0
42,AKPL,58,13,50,22000.0
43,AKPL,58,56,200,88000.0
44,AKPL,58,56,35,15505.0
45,AKPL,58,51,25,10975.0
46,AKPL,58,25,10,4430.0
47,AKPL,58,45,50,21950.0
48,AKPL,58,34,450,196650.0
49,AKPL,58,16,200,87000.0
50,AKPL,58,10,21,9156.0
51,AKPL,58,17,179,78044.0
52,AKPL,58,51,80,34880.0
53,ALICL,58,46,20,27500.0
54,ALICL,58,58,50,68450.0
55,ALICL,58,43,100,136900.0
56,ALICL,58,50,100,137000.0
57,ALICL,58,47,20,27400.0
58,ALICL,58,55,300,411000.0
59,ALICL,58,47,50,68500.0
60,ALICL,58,47,100,137000.0
61,ALICL,58,58,1000,1370000.0
62,ALICL,58,41,30,41100.0
63,ALICL,58,5,50,68500.0
64,ALICL,58,28,44,60588.0
65,ALICL,58,51,102,140760.0
66,ALICL,58,39,36,49680.0
67,ALICL,58,1,100,138000.0
68,ALICL,58,44,300,414000.0
69,ALICL,58,55,230,317400.0
70,ALICL,58,45,345,476100.0
71,ALICL,58,22,35,48300.0
72,ALICL,58,53,50,69000.0
73,API,58,39,50,20000.0
74,API,58,47,20,7940.0
75,API,58,13,380,150480.0
76,API,58,14,120,47520.0
77,API,58,56,10,3940.0
78,API,58,56,500,196000.0
79,API,58,8,50,19600.0
80,API,58,22,123,47970.0
81,API,58,22,50,19500.0
82,API,58,50,31,12090.0
83,API,58,45,25,9775.0
84,API,58,44,25,9775.0
85,API,58,44,15,5865.0
86,API,58,47,50,19500.0
87,API,58,45,25,9725.0
88,API,58,45,100,38900.0
89,API,58,52,100,38700.0
90,API,58,45,300,116400.0
91,API,58,45,200,77200.0
92,API,58,45,50,19250.0
93,API,58,45,100,38500.0
94,API,58,45,25,9625.0
95,BARUN,58,26,10,5380.0
96,BARUN,58,14,22,11748.0
97,BARUN,58,33,11,5885.0
98,BFC,58,42,10,4020.0
99,BFC,58,35,150,57750.0
100,BFC,58,32,40,15200.0
101,BFC,58,39,40,15120.0
102,BFC,58,45,70,26250.0
103,BFC,58,29,10,3740.0
104,BFC,58,19,40,14920.0
105,BFC,58,51,90,33570.0
106,BOKL,58,20,300,115500.0
107,BOKL,58,25,20,7680.0
108,BOKL,58,43,46,17710.0
109,BOKL,58,43,65,25025.0
110,BOKL,58,20,100,38400.0
111,BOKL,58,34,100,38600.0
112,BOKL,58,49,130,50050.0
113,BOKL,58,59,10,3850.0
114,BOKL,58,8,65,25025.0
115,BOKL,58,11,70,26950.0
116,BOKL,58,14,265,102025.0
117,BPCL,58,8,30,16200.0
118,BPCL,58,47,20,10800.0
119,BPCL,58,56,40,21400.0
120,BPCL,58,49,16,8480.0
121,BPCL,58,41,96,50784.0
122,BPCL,58,41,50,26450.0
123,BPCL,58,34,50,26300.0
124,BPCL,58,26,30,15810.0
125,BPCL,58,49,30,15840.0
126,BPCL,58,53,13,6877.0
127,BPCL,58,7,172,91160.0
128,BPCL,58,57,100,52800.0
129,BPCL,58,3,10,5280.0
130,BPCL,58,32,100,52600.0
131,BPCL,58,29,10,5250.0
132,BPCL,58,34,15,7875.0
133,BPCL,58,34,50,26250.0
134,BPCL,58,34,100,52500.0
135,BPCL,58,34,10,5250.0
136,BPCL,58,52,20,10500.0
137,BPCL,58,38,13,6825.0
138,BPCL,58,3,187,98175.0
139,BPCL,58,38,40,20920.0
140,BPCL,58,38,39,20397.0
141,CBBL,58,6,90,155610.0
142,CBBL,58,52,20,34600.0
143,CBBL,58,55,200,348000.0
144,CBBL,58,54,12,20880.0
145,CBBL,58,41,38,66120.0
146,CBBL,58,40,50,87000.0
147,CBBL,58,6,50,87450.0
148,CBBL,58,43,100,174600.0
149,CBBL,58,38,30,52380.0
150,CBBL,58,28,10,17350.0
151,CBBL,58,6,100,173900.0
152,CBBL,58,32,70,122150.0
153,CBBL,58,8,60,104580.0
154,CBBL,58,45,50,87000.0
155,CBBL,58,19,10,17400.0
156,CBBL,58,45,20,34720.0
157,CBBL,58,46,100,173500.0
158,CBBL,58,54,40,69400.0
159,CBBL,58,54,30,52050.0
160,CBL,58,37,10,3000.0
161,CBL,58,37,359,107700.0
162,CBL,58,51,500,151000.0
163,CBL,58,25,95,28595.0
164,CBL,58,38,40,12000.0
165,CBL,58,58,70,21000.0
