,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Amount
0,ACLBSL,34,58,10,14900.0
1,ACLBSL,55,58,10,15180.0
2,ADBL,14,58,100,50000.0
3,ADBL,14,58,23,11500.0
4,ADBL,14,58,100,50000.0
5,ADBL,44,58,159,79500.0
6,ADBL,44,58,50,25100.0
7,ADBL,19,58,50,24950.0
8,ADBL,44,58,50,25000.0
9,ADBL,19,58,56,28000.0
10,ADBL,19,58,94,47000.0
11,ADBL,44,58,300,150300.0
12,ADBL,36,58,35,17395.0
13,ADBL,46,58,1286,640428.0
14,ADBL,33,58,814,406186.0
15,ADBL,33,58,300,150000.0
16,ADBL,33,58,10,5000.0
17,ADBL,33,58,50,25000.0
18,ADBL,33,58,42,21000.0
19,ADBL,34,58,6,3000.0
20,ADBL,19,58,20,10020.0
21,ADBL,34,58,848,424000.0
22,ADBL,14,58,259,130018.0
23,ADBL,44,58,283,142066.0
24,ADBL,7,58,20,10020.0
25,ADBL,50,58,80,40080.0
26,ADBL,50,58,360,180360.0
27,ADBL,37,58,75,37575.0
28,ADBL,47,58,100,49900.0
29,ADBL,47,58,100,49900.0
30,ADBL,14,58,10,4980.0
31,ADBL,44,58,23,11454.0
32,ADBL,33,58,96,47712.0
33,ADBL,44,58,50,25000.0
34,ADBL,44,58,25,12500.0
35,ADBL,44,58,20,10000.0
36,ADBL,44,58,102,51000.0
37,ADBL,44,58,132,66000.0
38,AHPC,22,58,10,4810.0
39,AHPC,28,58,20,9600.0
40,AHPC,36,58,70,33250.0
41,AIL,11,58,10,8250.0
42,AIL,11,58,10,8250.0
43,AIL,43,58,10,8290.0
44,AIL,51,58,10,8250.0
45,AIL,58,58,10,8230.0
46,AIL,32,58,20,16440.0
47,AIL,32,58,10,8200.0
48,AIL,25,58,20,16400.0
49,AIL,57,58,50,41000.0
50,AIL,58,58,20,16400.0
51,AKJCL,36,58,10,2870.0
52,AKPL,43,58,13,5720.0
53,AKPL,16,58,13,5681.0
54,AKPL,16,58,11,4807.0
55,ALBSL,25,58,70,119630.0
56,ALBSL,25,58,12,20508.0
57,ALBSL,28,58,100,173000.0
58,ALICL,59,58,140,191800.0
59,ALICL,39,58,50,68500.0
60,ALICL,57,58,10,13700.0
61,ALICL,42,58,50,68250.0
62,ALICL,17,58,50,68200.0
63,ALICL,58,58,50,68450.0
64,ALICL,58,58,1000,1370000.0
65,API,45,58,90,35730.0
66,API,46,58,22,8668.0
67,API,21,58,201,79395.0
68,API,55,58,23,9062.0
69,API,19,58,180,71280.0
70,API,28,58,50,19800.0
71,API,48,58,770,304920.0
72,API,28,58,450,178200.0
73,API,21,58,50,19550.0
74,API,45,58,85,33150.0
75,API,35,58,60,23580.0
76,BARUN,20,58,11,5786.0
77,BFC,42,58,50,19450.0
78,BFC,28,58,60,22860.0
79,BFC,59,58,10,3750.0
80,BNT,45,58,10,99000.0
81,BNT,21,58,50,495000.0
82,BNT,51,58,40,396000.0
83,BOKL,51,58,500,191000.0
84,BOKL,56,58,10,3830.0
85,BOKL,28,58,20,7640.0
86,BOKL,47,58,90,34380.0
87,BOKL,45,58,500,193000.0
88,BOKL,45,58,95,36480.0
89,BOKL,41,58,250,96250.0
90,BOKL,53,58,500,193500.0
91,BOKL,39,58,50,19250.0
92,BOKL,39,58,50,19250.0
93,BPCL,52,58,45,24075.0
94,BPCL,42,58,1,521.0
95,BPCL,39,58,40,21120.0
96,BPCL,22,58,300,158700.0
97,BPCL,56,58,110,57750.0
98,BPCL,51,58,80,42000.0
99,BPCL,21,58,100,52500.0
100,CBBL,59,58,70,121520.0
101,CBL,45,58,75,22575.0
102,CBL,45,58,10,3010.0
103,CBL,39,58,423,126900.0
104,CBL,45,58,100,30000.0
105,CBL,42,58,300,90000.0
106,CBL,58,58,70,21000.0
107,CBL,22,58,50,15000.0
108,CBL,55,58,50,15000.0
109,CBL,57,58,15,4500.0
110,CBL,28,58,15,4500.0
111,CBL,47,58,82,24518.0
112,CBL,52,58,200,59800.0
113,CBL,35,58,96,28608.0
114,CBL,35,58,183,54534.0
115,CBL,1,58,14,4200.0
116,CBL,42,58,10,3000.0
117,CBL,18,58,100,29900.0
118,CBL,42,58,10,3010.0
119,CBL,45,58,324,97848.0
120,CBL,45,58,1016,306832.0
121,CBL,45,58,140,42280.0
122,CBL,48,58,80,24240.0
123,CBL,22,58,40,12160.0
124,CBL,22,58,25,7600.0
125,CBL,36,58,190,57760.0
126,CBL,41,58,30,9090.0
127,CBL,14,58,100,30200.0
128,CBL,6,58,300,90300.0
129,CBL,26,58,38,11438.0
130,CBL,26,58,12,3612.0
131,CBL,22,58,47,14100.0
132,CBL,45,58,100,30000.0
133,CBL,6,58,153,45900.0
134,CBL,6,58,100,30000.0
135,CBL,1,58,1286,384514.0
136,CBL,45,58,714,213486.0
137,CBL,20,58,15,4485.0
138,CBL,45,58,40,11880.0
139,CBL,45,58,35,10430.0
140,CBL,19,58,4,1184.0
141,CBL,49,58,123,36654.0
142,CBL,38,58,50,14900.0
143,CBL,34,58,292,87016.0
144,CBL,49,58,25,7400.0
145,CBL,34,58,27,7992.0
146,CBL,16,58,30,8850.0
147,CBL,16,58,780,230100.0
148,CBL,22,58,15,4425.0
149,CBL,56,58,40,11800.0
150,CBL,22,58,100,29500.0
151,CBL,33,58,20,5900.0
152,CBL,13,58,18,5292.0
153,CBL,38,58,49,14406.0
154,CBL,4,58,50,14750.0
155,CCBL,42,58,112,34272.0
156,CCBL,41,58,88,26928.0
157,CCBL,17,58,20,6120.0
158,CCBL,17,58,190,58140.0
159,CCBL,17,58,300,91800.0
160,CCBL,51,58,99,30294.0
161,CCBL,35,58,21,6426.0
162,CCBL,38,58,30,9120.0
163,CCBL,20,58,59,17936.0
164,CCBL,49,58,50,15200.0
165,CCBL,5,58,593,180272.0
166,CCBL,42,58,150,45600.0
167,CCBL,28,58,82,24928.0
168,CCBL,58,58,100,30400.0
169,CCBL,38,58,13,3952.0
170,CCBL,44,58,3923,1192592.0
171,CCBL,51,58,100,30500.0
172,CCBL,51,58,10,3050.0
173,CCBL,45,58,50,15250.0
174,CCBL,34,58,100,30500.0
175,CCBL,38,58,1000,305000.0
176,CCBL,26,58,200,61000.0
177,CCBL,34,58,500,152500.0
178,CCBL,1,58,140,42700.0
179,CCBL,43,58,188,57716.0
180,CCBL,55,58,50,15350.0
181,CCBL,22,58,62,19034.0
182,CCBL,16,58,100,31000.0
183,CCBL,22,58,70,21700.0
184,CCBL,45,58,20,6240.0
185,CCBL,52,58,50,15750.0
186,CCBL,52,58,45,14175.0
187,CCBL,13,58,50,15750.0
188,CCBL,41,58,50,15750.0
189,CCBL,22,58,150,47700.0
190,CCBL,35,58,50,16150.0
191,CCBL,21,58,20,6440.0
192,CCBL,33,58,50,15950.0
193,CCBL,57,58,445,141510.0
194,CCBL,43,58,100,31800.0
195,CCBL,3,58,50,15900.0
196,CCBL,42,58,1405,446790.0
197,CCBL,42,58,58,18444.0
198,CCBL,26,58,300,94500.0
199,CCBL,1,58,56,17584.0
200,CCBL,21,58,30,9420.0
201,CCBL,17,58,50,15700.0
202,CCBL,36,58,284,87756.0
203,CCBL,5,58,200,61400.0
204,CCBL,10,58,250,76750.0
205,CCBL,22,58,300,92100.0
206,CCBL,37,58,100,30700.0
207,CCBL,59,58,50,15350.0
208,CCBL,16,58,100,30800.0
209,CCBL,44,58,100,30800.0
210,CCBL,44,58,400,123200.0
211,CCBL,16,58,986,302702.0
212,CCBL,25,58,1500,460500.0
213,CCBL,4,58,1500,460500.0
214,CCBL,59,58,614,188498.0
215,CCBL,17,58,106,32966.0
216,CCBL,17,58,130,40690.0
217,CCBL,28,58,50,15650.0
218,CCBL,26,58,40,12440.0
219,CCBL,32,58,50,15550.0
220,CCBL,58,58,50,15550.0
221,CCBL,6,58,91,28210.0
222,CCBL,49,58,85,26350.0
223,CCBL,49,58,9,2790.0
224,CCBL,21,58,2007,620163.0
225,CCBL,59,58,20,6180.0
226,CCBL,43,58,40,12400.0
227,CCBL,5,58,20,6120.0
228,CCBL,29,58,100,30400.0
229,CCBL,29,58,50,15200.0
230,CCBL,17,58,60,18240.0
231,CCBL,39,58,21,6363.0
232,CCBL,22,58,200,60800.0
233,CCBL,34,58,10,3040.0
234,CCBL,41,58,22,6666.0
235,CFCL,3,58,10,3920.0
236,CFCL,38,58,490,192080.0
237,CGH,16,58,10,15500.0
238,CGH,39,58,10,15750.0
239,CGH,51,58,10,15950.0
240,CGH,39,58,10,16100.0
241,CGH,39,58,20,32240.0
242,CGH,8,58,10,15900.0
243,CGH,49,58,10,15990.0
244,CGH,58,58,10,15830.0
245,CHCL,26,58,20,13600.0
246,CHDC,58,58,10,5740.0
247,CHDC,4,58,10,5630.0
248,CHDC,25,58,10,5680.0
249,CHDC,57,58,10,5700.0
250,CHDC,42,58,10,5710.0
251,CHDC,42,58,10,5760.0
252,CHDC,43,58,10,5950.0
253,CHDC,48,58,10,6000.0
254,CHDC,48,58,10,6000.0
