Stock Symbol,Amount
NICA,32900411.0
UPPER,23469179.0
NRIC,22343396.0
CLBSL,18954547.0
NBL,10050630.0
LBBL,9608244.0
NICL,9328915.0
RADHI,8288469.0
CCBL,8116386.0
NBF2,6991985.0
NFS,5570848.0
SPDL,5522316.0
MERO,5442382.0
ALICL,4207178.0
ICFC,3935270.0
SBL,3446258.0
RHPC,3057600.0
NIFRA,2749176.0
MEGA,2656058.0
LBL,2561673.0
NLICL,2423951.0
NHPC,2213415.0
GBLBS,2071210.0
CBL,1993569.0
GILB,1990454.0
GMFIL,1959509.0
CBBL,1878690.0
NMFBS,1849585.0
JBBL,1701350.0
HIDCL,1623036.0
SANIMA,1333027.0
SRBL,1235665.0
NABIL,1229106.0
LLBS,1152770.0
GBIME,1104910.0
NICLBSL,975955.0
NLIC,945965.0
API,918255.0
PRVU,898196.0
AHPC,866190.0
VLBS,859000.0
SABSL,840000.0
PCBL,819240.0
CZBIL,736688.0
GUFL,686780.0
MLBBL,666325.0
SHPC,658198.0
BPCL,654723.0
GIC,653742.0
MHNL,599580.0
AKPL,590590.0
NMB,584220.0
CIT,572450.0
SMATA,571190.0
OHL,570560.0
DDBL,567870.0
NIL,560912.0
SADBL,548625.0
UMHL,528921.0
NBB,520970.0
NCCB,486162.0
RLFL,469300.0
SSHL,468790.0
BOKL,450815.0
KBL,446144.0
ADBL,433875.0
PROFL,423902.0
UNHPL,414961.0
GBBL,388499.0
RLI,376860.0
SHIVM,362575.0
LGIL,355200.0
SHL,310570.0
NUBL,307410.0
FOWAD,297550.0
STC,297180.0
KSBBL,272760.0
HDL,260000.0
NTC,256115.0
LICN,235500.0
HDHPC,194080.0
NGPL,192450.0
CHDC,186360.0
SMFDB,179714.0
SDLBSL,177670.0
MBL,174865.0
BFC,170570.0
RHPL,167892.0
CHL,167405.0
UPCL,166600.0
LEC,162400.0
JOSHI,155519.0
GLH,154410.0
AKJCL,154170.0
MFIL,152980.0
PICL,150840.0
SICL,141590.0
SLBBL,140500.0
SAPDBL,140195.0
SHINE,135292.0
GRDBL,126200.0
SHEL,123550.0
MLBL,121700.0
CGH,111480.0
ACLBSL,105630.0
DHPL,103550.0
JLI,103355.0
FMDBL,97350.0
MNBBL,96980.0
SJCL,96350.0
NMB50,89580.0
SLBSL,88720.0
SLICL,84735.0
JFL,83400.0
PFL,82724.0
UIC,82254.0
SKBBL,80500.0
SIC,79500.0
PLIC,79360.0
NLBBL,78250.0
AIL,78120.0
EIC,77900.0
CHCL,67600.0
SGI,67190.0
CORBL,65319.0
PLI,65115.0
SCB,60500.0
NMBMF,53820.0
PMHPL,50720.0
MLBSL,47600.0
EDBL,46500.0
NEF,43650.0
SFCL,38400.0
SINDU,36000.0
HURJA,35180.0
NICAD8283,28750.0
MPFL,26850.0
NRN,25800.0
MFLD85,25750.0
CFCL,23325.0
BARUN,23013.0
PPCL,21000.0
PRIN,20577.0
MDB,19025.0
SIFC,18450.0
RSDC,17200.0
SWBBL,16200.0
EBL,14900.0
PIC,13530.0
SIL,10960.0
RRHP,9750.0
MEN,8560.0
KKHC,8460.0
TRH,7820.0
GFCL,6100.0
SEF,3500.0
SBCF,2015.0
RMDC,1290.0
