,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
0,ACLBSL,47,52,20,1552,31040.0
1,ACLBSL,47,50,50,1559,77950.0
2,ACLBSL,47,52,20,1560,31200.0
3,ACLBSL,54,19,10,1582,15820.0
4,ACLBSL,38,38,10,1551,15510.0
5,ACLBSL,53,54,100,1552,155200.0
6,ACLBSL,38,54,40,1551,62040.0
7,ACLBSL,43,54,50,1551,77550.0
8,ACLBSL,38,54,15,1551,23265.0
9,ACLBSL,53,33,50,1550,77500.0
10,ACLBSL,21,49,10,1541,15410.0
11,ACLBSL,21,58,20,1541,30820.0
12,ACLBSL,21,16,10,1541,15410.0
13,ACLBSL,22,52,10,1549,15490.0
14,ACLBSL,22,42,10,1550,15500.0
15,ACLBSL,42,41,10,1560,15600.0
16,ACLBSL,42,21,10,1560,15600.0
17,ACLBSL,42,21,10,1560,15600.0
18,ACLBSL,42,45,20,1560,31200.0
19,ACLBSL,35,42,10,1568,15680.0
