Symbol,High(Rs.),Low(Rs.),Avg(Rs.),Closing(Rs.),Trade Volume,Share Volume
As of 2021-07-08,As of 2021-07-08,As of 2021-07-08,As of 2021-07-08,As of 2021-07-08,As of 2021-07-08,
NABIL,1550.00,741.00,4745.18,1317.00,29870621363,24943921
NIB,557.00,403.00,2674.24,0.00,7066735669,15026449
SCB,754.00,552.00,2500.37,591.00,4977426980,7873442
HBL,749.00,477.00,3302.29,0.00,2166569964,3717936
SBI,506.00,385.00,3105.14,407.00,4136694418,9697468
NBB,445.00,190.00,2580.77,401.00,15324468462,46493630
EBL,864.00,638.00,4013.22,735.00,11870745160,15725909
BOKL,405.00,213.00,1957.57,374.00,9959784510,32272873
NICA,1027.00,506.00,5407.33,926.00,31273318049,39121726
MBL,424.00,214.00,2118.68,380.00,8960752944,29159659
,,,,,,View All
