,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Amount
0,ACLBSL,58,50,15,24750.0
1,ACLBSL,58,28,15,24390.0
2,ACLBSL,58,50,10,16250.0
3,ACLBSL,58,42,20,32360.0
4,ACLBSL,58,39,80,129440.0
5,ACLBSL,58,51,10,16300.0
6,ACLBSL,58,45,10,16300.0
7,ACLBSL,58,57,10,16300.0
8,ACLBSL,58,50,30,49500.0
9,ACLBSL,58,22,20,32900.0
10,ACLBSL,58,6,10,16450.0
11,ACLBSL,58,50,20,32900.0
12,ACLBSL,58,17,10,16260.0
13,ACLBSL,58,45,10,16340.0
14,ACLBSL,58,45,200,326800.0
15,ACLBSL,58,14,63,102942.0
16,ACLBSL,58,14,40,65200.0
17,ADBL,58,42,20,8760.0
18,ADBL,58,42,50,21800.0
19,ADBL,58,42,30,13080.0
20,ADBL,58,32,30,13110.0
21,ADBL,58,16,200,87600.0
22,ADBL,58,34,100,44100.0
23,ADBL,58,21,10,4390.0
24,ADBL,58,53,50,22000.0
25,ADBL,58,6,50,21950.0
26,ADBL,58,6,20,8780.0
27,ADBL,58,1,15,6585.0
28,ADBL,58,41,85,37400.0
29,ADBL,58,41,250,110000.0
30,ADBL,58,50,85,37315.0
31,ADBL,58,50,15,6585.0
32,ADBL,58,42,20,8800.0
33,ADBL,58,1,20,8800.0
34,ADBL,58,20,50,22150.0
35,ADBL,58,20,10,4430.0
36,ADBL,58,20,172,76196.0
37,ADBL,58,26,259,114996.0
38,ADBL,58,16,41,18245.0
39,ADBL,58,19,11,4884.0
40,ADBL,58,28,12,5328.0
41,ADBL,58,29,150,66600.0
42,ADBL,58,38,10,4440.0
43,ADBL,58,42,20,8880.0
44,ADBL,58,11,20,8880.0
45,ADBL,58,11,100,44400.0
46,AHPC,58,58,100,44000.0
47,AHPC,58,26,100,42600.0
48,AHPC,58,48,50,21650.0
49,AHPC,58,20,300,137700.0
50,AHPC,58,56,200,92400.0
51,AHPC,58,16,100,46800.0
52,AHPC,58,5,100,46800.0
53,AHPC,58,45,50,23400.0
54,AHPC,58,49,250,117000.0
55,AHPC,58,34,17,7956.0
56,AHPC,58,42,183,85644.0
57,AHPC,58,36,50,23350.0
58,AHPC,58,51,50,23250.0
59,AHPC,58,36,47,21949.0
60,AHPC,58,21,30,14010.0
61,AHPC,58,33,423,197541.0
62,AHPC,58,28,10,4660.0
63,AHPC,58,58,60,27840.0
64,AHPC,58,39,50,22800.0
65,AHPC,58,32,18,8136.0
66,AHPC,58,28,32,14496.0
67,AHPC,58,52,28,12656.0
68,AHPC,58,32,32,14464.0
69,AHPC,58,17,65,29250.0
70,AHPC,58,39,28,12656.0
71,AHPC,58,48,130,59020.0
72,AHPC,58,33,100,45600.0
73,AHPC,58,3,100,45500.0
74,AHPC,58,34,270,122850.0
75,AHPC,58,33,20,9120.0
76,AHPC,58,57,50,22850.0
77,AHPC,58,52,172,77744.0
78,AHPC,58,20,50,22900.0
79,AHPC,58,20,80,36640.0
80,AHPC,58,46,100,45800.0
81,AHPC,58,48,20,9080.0
82,AHPC,58,44,300,138000.0
83,AHPC,58,17,50,23000.0
84,AHPC,58,20,300,138300.0
85,AHPC,58,14,110,50710.0
86,AHPC,58,20,50,23150.0
87,AHPC,58,20,100,46300.0
88,AHPC,58,42,120,55200.0
89,AHPC,58,42,42,19320.0
90,AHPC,58,33,10,4650.0
91,AHPC,58,25,16,7408.0
92,AHPC,58,20,10,4660.0
93,AHPC,58,20,10,4660.0
94,AHPC,58,25,10,4650.0
95,AHPC,58,25,100,46500.0
96,AHPC,58,8,30,13950.0
97,AHPC,58,8,23,10695.0
98,AHPC,58,21,37,17205.0
99,AHPC,58,20,50,23350.0
100,AHPC,58,20,50,23350.0
101,AHPC,58,48,80,37280.0
102,AHPC,58,48,50,23300.0
103,AHPC,58,48,60,27960.0
104,AHPC,58,20,10,4700.0
105,AHPC,58,20,150,70350.0
106,AHPC,58,17,250,117250.0
107,AHPC,58,21,100,46900.0
108,AHPC,58,45,200,94000.0
109,AHPC,58,20,10,4710.0
110,AHPC,58,16,10,4720.0
111,AHPC,58,20,30,14190.0
112,AHPC,58,56,20,9480.0
113,AHPC,58,43,267,126291.0
114,AHPC,58,14,183,86559.0
115,AHPC,58,14,10,4720.0
116,AHPC,58,59,50,23750.0
117,AHPC,58,41,979,465025.0
118,AHPC,58,41,21,9975.0
119,AHPC,58,43,500,237500.0
120,AHPC,58,17,167,79158.0
121,AHPC,58,58,47,22419.0
122,AHPC,58,45,53,25281.0
123,AHPC,58,14,100,47600.0
124,AHPC,58,14,410,194750.0
125,AHPC,58,3,590,280250.0
126,AHPC,58,58,20,9480.0
127,AHPC,58,33,23,10902.0
128,AHPC,58,33,200,94400.0
129,AHPC,58,33,106,49926.0
