S.N,Stock Name,Stock Symbol,Sector
1,Agriculture Development Bank Limited,ADBL,Commercial Banks
2,Bank of Kathmandu Ltd.,BOKL,Commercial Banks
3,Century Commercial Bank Ltd.,CCBL,Commercial Banks
4,Citizen Bank International Limited,CZBIL,Commercial Banks
5,Civil Bank Ltd,CBL,Commercial Banks
6,Everest Bank Limited,EBL,Commercial Banks
7,Global IME Bank Limited,GBIME,Commercial Banks
8,Himalayan Bank Limited,HBL,Commercial Banks
9,Janata Bank Nepal Ltd.,JBNL,Commercial Banks
10,Kumari Bank Limited,KBL,Commercial Banks
11,Laxmi Bank Limited,LBL,Commercial Banks
12,Machhapuchhre Bank Limited,MBL,Commercial Banks
13,Mega Bank Nepal Ltd.,MEGA,Commercial Banks
14,Nabil Bank Limited,NABIL,Commercial Banks
15,Nepal Bangladesh Bank Limited,NBB,Commercial Banks
16,Nepal Bank Limited,NBL,Commercial Banks
17,Nepal Credit And Commercial Bank Limited,NCCB,Commercial Banks
18,Nepal Investment Bank Limited,NIB,Commercial Banks
19,Nepal SBI Bank Limited,SBI,Commercial Banks
20,NIC Asia Bank Ltd.,NICA,Commercial Banks
21,NMB Bank Limited,NMB,Commercial Banks
22,Prabhu Bank Limited,PRVU,Commercial Banks
23,Prime Commercial Bank Ltd.,PCBL,Commercial Banks
24,Sanima Bank Limited,SANIMA,Commercial Banks
25,Siddhartha Bank Limited,SBL,Commercial Banks
26,Standard Chartered Bank Limited,SCB,Commercial Banks
27,Sunrise Bank Limited,SRBL,Commercial Banks
28,Corporate Development Bank Limited,CORBL,Development Banks
29,Excel Development Bank Ltd.,EDBL,Development Banks
30,Garima Bikas Bank Limited,GBBL,Development Banks
31,Green Development Bank Ltd.,GRDBL,Development Banks
32,Jyoti Bikas Bank Limited,JBBL,Development Banks
33,Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks
34,Karnali Development Bank Limited,KRBL,Development Banks
35,Lumbini Bikas Bank Ltd.,LBBL,Development Banks
36,Mahalaxmi Bikas Bank Ltd.,MLBL,Development Banks
37,Miteri Development Bank Limited,MDB,Development Banks
38,Muktinath Bikas Bank Ltd.,MNBBL,Development Banks
39,Narayani Development Bank Limited,NABBC,Development Banks
40,Saptakoshi Development Bank Ltd,SAPDBL,Development Banks
41,Shangrila Development Bank Ltd.,SADBL,Development Banks
42,Shine Resunga Development Bank Ltd.,SHINE,Development Banks
43,Sindhu Bikash Bank Ltd,SINDU,Development Banks
44,Best Finance Company Ltd.,BFC,Finance
45,Central Finance Co. Ltd.,CFCL,Finance
46,Goodwill Finance Co. Ltd.,GFCL,Finance
47,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Finance
48,Gurkhas Finance Ltd.,GUFL,Finance
49,ICFC Finance Limited,ICFC,Finance
50,Janaki Finance Ltd.,JFL,Finance
51,Manjushree Finance Ltd.,MFIL,Finance
52,Multipurpose Finance Company Limited,MPFL,Finance
53,Nepal Finance Ltd.,NFS,Finance
54,Pokhara Finance Ltd.,PFL,Finance
55,ProgressiveFinance Limited,PROFL,Finance
56,Reliance Finance Ltd.,RLFL,Finance
57,Samriddhi Finance Company Limited,SFCL,Finance
58,Shree Investment Finance Co. Ltd.,SIFC,Finance
59,Chandragiri Hills Limited,CGH,Hotels
60,Oriental Hotels Limited,OHL,Hotels
61,Soaltee Hotel Limited,SHL,Hotels
62,Taragaon Regency Hotel Limited,TRH,Hotels
63,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power
64,Api Power Company Ltd.,API,Hydro Power
65,Arun Kabeli Power Ltd.,AKPL,Hydro Power
66,Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power
67,Barun Hydropower Co. Ltd.,BARUN,Hydro Power
68,Butwal Power Company Limited,BPCL,Hydro Power
69,Chhyangdi Hydropower Ltd.,CHL,Hydro Power
70,Chilime Hydropower Company Limited,CHCL,Hydro Power
71,Dibyashwori Hydropower Ltd.,DHPL,Hydro Power
72,Ghalemdi Hydro Limited,GHL,Hydro Power
73,GreenLife Hydropower Limited,GLH,Hydro Power
74,Himal Dolakha Hydropower Company Limited,HDHPC,Hydro Power
75,Himalaya Urja Bikas Company Limited,HURJA,Hydro Power
76,Himalayan Power Partner Ltd.,HPPL,Hydro Power
77,Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power
78,Kalika power Company Ltd,KPCL,Hydro Power
79,Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power
80,Liberty Energy Company Limited,LEC,Hydro Power
81,Mailung Khola Jal Vidhyut Company Limited,MKJC,Hydro Power
82,Mountain Energy Nepal Limited,MEN,Hydro Power
83,Mountain Hydro Nepal Limited,MHNL,Hydro Power
84,National Hydro Power Company Limited,NHPC,Hydro Power
85,Nepal Hydro Developers Ltd.,NHDL,Hydro Power
86,Ngadi Group Power Ltd.,NGPL,Hydro Power
87,Nyadi Hydropower Limited,NYADI,Hydro Power
88,Panchakanya Mai Hydropower Ltd,PMHPL,Hydro Power
89,Panchthar Power Compant Limited,PPCL,Hydro Power
90,Radhi Bidyut Company Ltd,RADHI,Hydro Power
91,Rairang Hydropower Development Company Ltd.,RRHP,Hydro Power
92,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydro Power
93,Ridi Hydropower Development Company Ltd.,RHPC,Hydro Power
94,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydro Power
95,Sahas Urja Limited,SAHAS,Hydro Power
96,Samling Power Company Limited,SPC,Hydro Power
97,Sanima Mai Hydropower Ltd.,SHPC,Hydro Power
98,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro Power
99,Shiva Shree Hydropower Ltd,SSHL,Hydro Power
100,Singati Hydro Energy Limited,SHEL,Hydro Power
