Symbol,High(Rs.),Low(Rs.),Avg(Rs.),Closing(Rs.),Trade Volume,Share Volume
As of 2021-12-29,As of 2021-12-29,As of 2021-12-29,As of 2021-12-29,As of 2021-12-29,As of 2021-12-29,
NABIL,1740.00,1042.00,1357.26,1450.00,39342935037,28817797
NIB,553.00,430.00,465.74,0.00,3658352874,7731140
SCB,701.00,434.00,576.39,447.00,4425473149,7406998
HBL,601.00,477.00,528.86,0.00,895242609,1683024
SBI,491.00,331.30,398.88,345.00,4420291837,10685813
NBB,515.00,256.00,382.28,402.50,21242701921,54714090
EBL,864.00,515.00,724.92,535.30,12476554709,16582692
BOKL,433.20,240.20,333.47,265.00,10311442831,30420197
NICA,1085.00,701.00,893.98,740.00,33319309019,36390042
MBL,455.00,247.00,342.62,316.00,12877736790,36154019
,,,,,,View All
