Stock Symbol,Amount
ACLBSL,935382.0
ADBL,840484.0
AHPC,7182509.0
AIL,186295.0
AKJCL,347350.0
AKPL,18480990.0
ALBSL,830684.0
ALICL,18480031.0
API,12631188.0
BARUN,1356770.0
BBC,138200.0
BFC,1161685.0
BOKL,1551226.0
BPCL,29097035.0
CBBL,15207574.0
CBL,8485106.0
CCBL,574458.0
CFCL,898242.0
CGH,881360.0
CHCL,52537717.0
CHL,1038471.0
CIT,4256617.0
CLBSL,20545087.0
CORBL,883364.0
CZBIL,885644.0
DDBL,7551640.0
DHPL,888284.0
EBL,3363128.0
EDBL,819200.0
EIC,970720.0
FMDBL,1823048.0
FOWAD,3667344.0
GBBL,6861134.0
GBIME,3840709.0
GBLBS,9692788.0
GFCL,1393268.0
GHL,682757.0
GIC,1847040.0
GILB,5349972.0
GIMES1,44236.0
GLBSL,233610.0
GLH,9242077.0
GLICL,5766363.0
GMFBS,434666.0
GMFIL,301565.0
GRDBL,891928.0
GUFL,14280017.0
HDHPC,6855439.0
HDL,4171919.0
HGI,1388295.0
HIDCL,11955018.0
HPPL,1036773.0
HURJA,6240543.0
ICFC,5147333.0
IGI,12873400.0
ILBS,467430.0
JBBL,5982678.0
JFL,1113034.0
JLI,721896.0
JOSHI,3853483.0
JSLBB,279350.0
KBL,3525369.0
KEF,10989.0
KKHC,1475547.0
KLBSL,53008.0
KMCDB,187650.0
KPCL,9823041.0
KRBL,1124396.0
KSBBL,5430066.0
LBBL,720276.0
LBL,1456797.0
LEC,763260.0
LGIL,1755824.0
LICN,164610.0
LLBS,679526.0
LUK,1980.0
MBL,667633.0
MDB,1097140.0
MEGA,4045235.0
MEN,685822.0
MERO,4182430.0
MFIL,3883967.0
MHNL,189300.0
MLBBL,363894.0
MLBL,1243226.0
MLBSL,876024.0
MMFDB,1283228.0
MNBBL,6371903.0
MPFL,499029.0
MSLB,135444.0
NABBC,37250.0
NABIL,7476787.0
NBB,471314.0
NBF2,6150.0
NBL,1593267.0
NCCB,34024003.0
NFS,801003.0
NGPL,1639120.0
NHDL,664830.0
NHPC,17175128.0
NIBLPF,2014726.9400000002
NICA,1588950.0
NICBF,38037.0
NICGF,65650.0
NICL,2795560.0
NICLBSL,8195968.0
NIFRA,5796822.0
NIL,5503300.0
NLBBL,3721790.0
NLG,1660918.0
NLIC,4874292.0
NLICL,4289576.0
NMB,1548039.0
NMB50,39840.0
NMBHF1,553547.8800000001
NMBMF,940155.0
NMFBS,142800.0
NRIC,56297677.0
NRN,624750.0
NTC,14620530.0
NUBL,6910015.0
OHL,241330.0
PCBL,1168456.0
PFL,7713853.0
PIC,127000.0
PICL,1296220.0
PLI,237856.0
PLIC,19449786.0
PMHPL,307960.0
PPCL,11673766.0
PRIN,903220.0
PROFL,1739191.0
PRVU,2840892.0
RADHI,13828173.0
RBCL,17249365.0
RBCLPO,31773280.0
RHPC,1950560.0
RHPL,18965667.0
RLFL,12033401.0
RLI,969157.0
RMDC,45254038.0
RRHP,1242277.0
RSDC,1506464.0
RURU,21280.0
SABSL,377110.0
SADBL,1659838.0
SAEF,62255.5
SANIMA,3471393.0
SAPDBL,1665210.0
SBI,98510.0
SBL,428332.0
SCB,584840.0
SDLBSL,1307015.0
SFCL,1061300.0
SGI,78650.0
SHEL,158416.0
SHINE,2085667.0
SHIVM,4566381.0
SHL,1554850.0
SHPC,31744429.0
SIC,1749472.0
SICL,3818087.0
SIFC,4895061.0
SIL,8835062.0
SINDU,1024761.0
SJCL,25768840.0
SKBBL,1956863.0
SLBBL,19262890.0
SLBS,1007647.0
SLBSL,779360.0
SLCF,13902.0
SLICL,16851823.0
SMATA,723461.0
SMFBS,429156.0
SMFDB,1302815.0
SNLB,34320.0
SPDL,2648734.0
SRBL,1861133.0
SSHL,9467126.0
STC,10827740.0
SWBBL,2807369.0
TRH,283700.0
UIC,2631641.0
UMHL,16109382.0
UMRH,351875.0
UNHPL,1037750.0
UNL,396760.0
UPCL,4243671.0
UPPER,7500764.0
USLB,370975.0
VLBS,1573347.0
WOMI,401740.0
