Stock Symbol,Amount
UPPER,46156309.0
NIL,9587029.0
NHPC,7619983.0
CCBL,6441657.0
NICA,6338617.0
NICL,5613550.0
RHPC,5350891.0
SPDL,5290639.0
CLBSL,5115585.0
SLBBL,4355600.0
ADBL,3061944.0
NMB,2898859.0
CBL,2458379.0
NFS,2260700.0
NABIL,2260297.0
NIFRA,2245805.0
SANIMA,2168613.0
RADHI,2004560.0
ALICL,1848900.0
MLBL,1683926.0
SAEF,1630970.0
CZBIL,1474515.0
HDL,1455900.0
SHINE,1390582.0
KBL,1207800.0
NBB,1207469.0
BNT,990000.0
EDBL,942700.0
HDHPC,927932.0
EBL,898300.0
BOKL,794580.0
API,783335.0
NRIC,692260.0
SADBL,688087.0
UMHL,681217.0
MERO,679530.0
SLICL,677681.0
JBBL,664326.0
PCBL,640145.0
SLBSL,638874.0
KSBBL,631900.0
JLI,597440.0
HIDCL,581473.0
MFIL,508600.0
GLICL,489500.0
MDB,485681.0
MEGA,464694.0
CHDC,454310.0
PRVU,424083.0
NCCB,412958.0
GLH,394380.0
SICL,359918.0
BPCL,356666.0
SHEL,353960.0
SAPDBL,342421.0
GILB,328160.0
FOWAD,318300.0
PLIC,315986.0
ALBSL,313138.0
UNHPL,298252.0
NUBL,297650.0
RLI,297050.0
TRH,295250.0
NLG,292704.0
GUFL,281320.0
JFL,280960.0
NTC,279800.0
DDBL,275899.0
GBBL,268185.0
NMFBS,251150.0
CORBL,246100.0
KKHC,229983.0
RHPL,228274.0
ILBS,221355.0
SIL,218790.0
NICLBSL,215090.0
GBIME,207857.0
CFCL,196000.0
RMDC,191460.0
GHL,191450.0
MLBSL,190500.0
SABSL,186425.0
RLFL,182274.0
SDLBSL,179210.0
MBL,172920.0
SMATA,164200.0
SHIVM,160650.0
OHL,159538.0
RRHP,157206.0
LLBS,154580.0
CGH,143260.0
FMDBL,140878.0
AIL,139710.0
LBBL,136942.0
NBL,130944.0
CIT,128376.0
SGI,126390.0
EIC,124363.0
CBBL,121520.0
LBL,119675.0
MSLB,110986.0
HPPL,109080.0
NGPL,107900.0
JOSHI,104792.0
SMFDB,104600.0
LGIL,96360.0
SJCL,92060.0
PLI,84290.0
CHL,84170.0
PICL,83500.0
SNLB,81390.0
SWBBL,81250.0
SIC,79500.0
HGI,78300.0
GBLBS,78010.0
SRBL,74631.0
DHPL,73915.0
SSHL,73620.0
GIC,63720.0
UPCL,63120.0
MPFL,61500.0
SHPC,60500.0
NLIC,59030.0
PFL,55160.0
NEF,51346.95
SBL,50100.0
USLB,48686.0
AHPC,47660.0
BFC,46060.0
SBI,41840.0
PRIN,39600.0
VLBS,34640.0
ACLBSL,30080.0
SHL,27500.0
SINDU,25910.0
MEN,25780.0
LUK,24000.0
UMRH,23980.0
MHNL,23100.0
PPCL,20940.0
GMFBS,19800.0
RURU,19190.0
MNBBL,17980.0
PROFL,17480.0
AKPL,16208.0
GMFIL,13830.0
CHCL,13600.0
KMCDB,13230.0
NRN,12910.0
SCB,12684.0
PSF,11185.0
LEC,10710.0
NIBSF2,10100.0
SLCF,9023.0
SEF,7100.0
HURJA,7060.0
BARUN,5786.0
ICFC,5390.0
NHDL,4440.0
KEF,3044.0
AKJCL,2870.0
