Symbol,LTP,% Change,High,Low,Open,Qty.,Unnamed: 7
ACLBSL,1521.0,2.42,1546.0,1476.0,1499.0,1567,
ADBL,498.0,1.01,517.0,491.0,517.0,106661,
AHPC,472.0,-1.46,487.0,469.0,487.0,39988,
AIL,817.0,0.25,833.0,815.0,815.0,3265,
AKJCL,283.0,-0.7,290.0,280.0,285.0,5015,
AKPL,438.0,-0.45,448.0,435.0,448.0,38148,
ALBSL,1716.0,3.06,1731.0,1676.0,1684.0,1510,
ALICL,1380.0,1.85,1390.0,1364.0,1371.0,9189,
API,390.0,-1.27,414.0,385.0,414.0,110995,
BARUN,527.0,-1.5,549.0,526.0,545.0,11513,
BBC,5775.0,1.67,5900.0,5670.0,5670.0,430,
BFC,373.0,-2.61,402.0,372.0,402.0,13507,
BNT,10098.0,1.93,10098.0,9900.0,9900.0,120,
BOKL,383.0,1.06,389.0,380.0,382.0,49279,
BPCL,523.0,-0.38,551.0,522.0,551.0,34136,
CBBL,1736.0,1.16,1749.0,1720.0,1720.0,7548,
CBL,295.0,-0.34,305.0,294.0,300.0,227902,
CCBL,304.0,2.01,324.0,300.0,312.0,648592,
CFCL,383.0,-2.3,398.0,383.0,392.0,10811,
CGH,1578.0,0.9,1618.0,1550.0,1595.0,2816,
CHCL,671.0,-0.15,682.0,666.0,675.0,18466,
CHDC,580.0,1.05,600.0,563.0,570.0,9360,
CHL,426.0,-3.62,444.0,425.0,439.0,10338,
CIT,3562.0,0.34,3609.0,3555.0,3609.0,3703,
CLBSL,1430.0,5.93,1430.0,1365.0,1365.0,25747,
CMF1,12.36,-0.16,12.42,12.17,12.17,13700,
CMF2,13.25,1.92,13.25,13.0,13.0,2900,
CORBL,696.0,3.88,722.0,670.0,670.0,6864,
CZBIL,385.0,0.52,392.0,384.0,390.0,97619,
DDBL,1664.0,1.71,1675.0,1555.0,1555.0,12629,
DHPL,277.0,0.0,282.0,271.0,282.0,12121,
EBL,744.0,0.4,754.0,741.0,743.0,21274,
EDBL,775.0,-0.64,790.0,775.0,790.0,4919,
EIC,770.0,-0.26,790.0,770.0,775.0,10392,
EICPO,402.0,0.5,410.0,400.0,400.0,9449,
FMDBL,824.0,1.98,825.0,810.0,817.0,23301,
FOWAD,2683.0,3.43,2706.0,2600.0,2639.0,2048,
GBBL,508.0,-0.2,515.0,503.0,513.0,38464,
GBD80/81,1054.0,0.0,1054.0,1054.0,1054.0,50,
GBIME,443.0,0.91,460.0,441.0,460.0,71214,
GBLBS,1191.0,1.79,1220.0,1170.0,1192.0,10062,
GFCL,595.0,-0.83,615.0,588.0,610.0,6284,
GHL,301.0,0.33,305.0,294.0,305.0,7022,
GIC,705.0,0.28,712.0,700.0,705.0,3193,
GILB,2709.0,1.57,2720.0,2670.0,2670.0,2165,
GIMES1,19.3,-1.28,19.3,19.27,19.27,35500,
GLBSL,1870.0,1.63,1874.0,1870.0,1874.0,20,
GLH,378.0,0.0,396.0,371.0,396.0,8708,
GLICL,773.0,0.52,784.0,767.0,767.0,4312,
GMFBS,1650.0,0.61,1656.0,1610.0,1610.0,689,
GMFIL,457.0,-3.79,498.0,457.0,498.0,14940,
GRDBL,332.0,-0.9,350.0,332.0,341.0,9341,
GUFL,1098.0,-1.52,1150.0,1060.0,1060.0,19251,
HDHPC,285.0,-0.35,293.0,280.0,287.0,56317,
HDL,5191.0,0.7,5235.0,5170.0,5170.0,6953,
